-15544,-568,-5920
-15384,-744,-6392
-14272,-304,-7520
-13024,64,-9944
-10128,3032,-11648
-6928,2712,-16504
-2688,6488,-14568
1072,7592,-14072
4040,8544,-14032
7168,8936,-11768
9840,9248,-10080
12968,9936,-4400
13000,10392,-1392
12512,12008,1856
9960,13656,3376
6952,12216,6656
4904,10072,10080
4608,11440,12448
408,6416,13656
-3152,7568,13656
-6200,5320,13768
-8216,5144,13096
-10352,1696,12520
-9200,1496,13264
-7824,-440,14200
-6784,-416,15000
-6376,2672,15440
-7680,5040,14872
-10408,3552,11672
-14512,10448,4392
-15392,7008,608
-15696,1712,-5248
-14232,1232,-9288
-10224,2968,-11632
-6824,720,-14984
-1712,1136,-16448
5504,5064,-14752
9048,17400,-14200
3648,13984,-10232
6296,16496,-520
6936,13440,7864
3488,13224,5776
4496,11104,9936
8216,8536,12392
10360,6064,10152
11520,7808,7840
14152,7440,5288
13752,7288,2392
14408,8216,-824
12112,8144,-3656
11472,7632,-4616
12152,8136,-8440
7456,8776,-12072
6016,5760,-14088
1656,-1328,-15552
-4160,-5928,-14248
-5856,-9296,-11232
-9528,-10120,-8200
-11952,-12304,-3488
-14112,-8288,-328
-14840,-6368,5080
-12296,-3680,8944
-11544,-632,11928
-11144,2680,12664
-10168,8408,10240
-4264,13904,7408
5232,13328,3968
10584,11816,-360
11560,11368,-4456
10416,9616,-8136
7368,5296,-11600
8336,6976,-13056
6424,5600,-13896
3088,4640,-14784
1560,5168,-15296
680,3584,-15648
-208,4032,-15784
-1080,2616,-15752
-2712,3360,-16384
-3368,3576,-15264
-5248,4248,-14984
-6768,3992,-13736
-7360,4816,-14200
-8632,5472,-12584
-8608,5992,-11600
-10216,4488,-11432
-11888,3840,-9600
-14144,1008,-7712
-14128,-2632,-7440
-13896,-3512,-6744
-13088,-4952,-8512
-12296,-6256,-8704
-11976,-5200,-10320
